filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_43_4_hMIN.pdb,17,8.799999999999999,0,0,0.5176470588235293,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_43_5_hMIN.pdb,17,8.600000000000001,0,0,0.5058823529411766,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_27_10_hMIN.pdb,17,8.6,0,0,0.5058823529411764,2,139,3,14,6,13,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_31_4_hMIN.pdb,17,8.6,0,0,0.5058823529411764,2,139,5,46,2,15,1,63,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_27_5_hMIN.pdb,17,8.6,0,0,0.5058823529411764,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_37_7_hMIN.pdb,17,8.6,0,0,0.5058823529411764,2,139,3,14,6,13,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_35_2_hMIN.pdb,17,8.6,0,0,0.5058823529411764,2,139,7,3,5,6,6,6,7,5
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_31_9_hMIN.pdb,17,8.4,0,0,0.49411764705882355,2,139,2,73,1,74,0,12,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_21_1_hMIN.pdb,17,8.4,0,0,0.49411764705882355,2,139,3,14,6,13,0,12,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_21_4_hMIN.pdb,17,8.4,0,0,0.49411764705882355,2,139,2,73,1,74,1,63,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_39_1_hMIN.pdb,17,8.4,0,0,0.49411764705882355,2,139,2,73,1,74,4,10,4,11
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_25_2_hMIN.pdb,17,8.4,0,0,0.49411764705882355,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_19_4_hMIN.pdb,17,8.4,0,0,0.49411764705882355,2,139,5,46,4,32,2,35,5,10
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_31_2_hMIN.pdb,17,8.399999999999999,0,0,0.49411764705882344,2,139,5,46,4,32,7,5,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_39_7_hMIN.pdb,17,8.399999999999999,0,0,0.49411764705882344,2,139,2,73,1,74,1,63,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_31_6_hMIN.pdb,17,8.2,0,0,0.48235294117647054,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_37_3_hMIN.pdb,17,8.0,0,0,0.47058823529411764,2,139,2,73,1,74,4,10,4,11
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_19_6_hMIN.pdb,17,8.0,0,0,0.47058823529411764,2,139,3,14,6,13,6,6,5,10
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_significant_ECs_0.9_1_hMIN.pdb,17,8.0,0,0,0.47058823529411764,3,10,6,10,3,10,5,8,6,8
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_17_3_hMIN.pdb,17,7.800000000000002,0,0,0.4588235294117648,2,139,2,73,1,74,3,11,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_25_10_hMIN.pdb,17,7.800000000000001,0,0,0.45882352941176474,2,139,5,46,4,32,2,35,0,14
